opportunity_id,account_id,product_id,sales_agent,deal_stage,engage_date,close_date,deal_value
D0,A1061,P203,Agent_8,Closed Lost,2023-12-02,2024-01-20,48173
D1,A1068,P201,Agent_4,Proposal,2023-06-17,2023-06-18,45508
D2,A1075,P202,Agent_19,Qualification,2023-11-14,2024-02-07,43794
D3,A1015,P202,Agent_28,Qualification,2023-07-12,2023-07-01,25753
D4,A1047,P200,Agent_20,Qualification,2023-12-08,2023-04-03,74131
D5,A1084,P204,Agent_8,Qualification,2023-05-21,2023-05-26,25211
D6,A1038,P204,Agent_27,Negotiation,2023-03-29,2023-10-23,32238
D7,A1032,P201,Agent_7,Proposal,2023-05-09,2023-09-08,51086
D8,A1022,P203,Agent_30,Qualification,2023-04-11,2023-04-30,72418
D9,A1009,P204,Agent_19,Prospecting,2023-01-04,2023-11-09,32639
D10,A1068,P201,Agent_26,Prospecting,2023-09-27,2023-03-12,71689
D11,A1033,P201,Agent_7,Qualification,2023-10-21,2023-08-25,62440
D12,A1051,P205,Agent_20,Prospecting,2023-09-20,2023-04-02,43172
D13,A1009,P205,Agent_27,Closed Won,2023-07-23,2023-02-20,43060
D14,A1018,P204,Agent_22,Prospecting,2023-06-10,2023-06-14,58350
D15,A1057,P201,Agent_5,Negotiation,2023-08-12,2023-03-21,57848
D16,A1000,P200,Agent_2,Qualification,2023-03-16,2024-01-06,56238
D17,A1068,P200,Agent_4,Prospecting,2023-12-28,2023-05-04,21690
D18,A1003,P205,Agent_8,Closed Won,2023-05-08,2023-11-27,11663
D19,A1015,P204,Agent_6,Proposal,2023-01-04,2024-01-02,11189
D20,A1023,P203,Agent_3,Qualification,2023-06-18,2023-11-25,25673
D21,A1079,P206,Agent_4,Closed Won,2023-11-11,2024-01-08,8589
D22,A1001,P200,Agent_10,Prospecting,2023-06-12,2023-05-25,54007
D23,A1031,P200,Agent_14,Qualification,2023-01-22,2023-07-16,45104
D24,A1083,P205,Agent_33,Closed Won,2023-12-12,2023-08-04,52310
D25,A1023,P205,Agent_12,Negotiation,2023-10-22,2023-12-10,7162
D26,A1011,P204,Agent_6,Qualification,2023-10-21,2023-09-28,28093
D27,A1049,P205,Agent_5,Prospecting,2023-09-13,2023-06-27,10167
D28,A1034,P202,Agent_29,Closed Won,2023-12-25,2023-03-18,48743
D29,A1032,P206,Agent_21,Qualification,2023-09-01,2023-10-31,24525
D30,A1032,P201,Agent_24,Qualification,2023-07-26,2023-05-11,25987
D31,A1060,P200,Agent_27,Proposal,2023-02-04,2023-12-17,74166
D32,A1050,P202,Agent_19,Closed Lost,2023-07-05,2023-03-09,13652
D33,A1042,P203,Agent_2,Prospecting,2023-08-05,2023-07-02,57861
D34,A1011,P202,Agent_4,Closed Won,2023-03-14,2023-08-11,72403
D35,A1066,P204,Agent_0,Proposal,2023-05-23,2023-04-17,31264
D36,A1064,P203,Agent_14,Proposal,2023-02-02,2023-03-18,5576
D37,A1032,P203,Agent_25,Negotiation,2023-05-27,2023-05-25,8764
D38,A1039,P205,Agent_2,Closed Lost,2023-05-19,2023-03-29,64887
D39,A1073,P202,Agent_33,Qualification,2023-09-18,2023-05-31,29937
D40,A1042,P204,Agent_4,Prospecting,2023-07-16,2023-07-18,38224
D41,A1043,P200,Agent_30,Closed Lost,2023-08-03,2023-12-04,57713
